Time,"Charlotte - Tenth St, Pedestrians","Charlotte - Pecan Ave, Pedestrians","Charlotte - South Tryon Rd, Pedestrians","Charlotte - North Tryon Rd, Pedestrians","Charlotte - Stonewall St, Pedestrians","Charlotte - University City Blvd, Pedestrians","Charlotte - Selwyn Ave, Pedestrians","Charlotte - 4th St Extension, Pedestrians","Charlotte - Elizabeth Ave, Pedestrians","Charlotte - Blue Line Trail, Pedestrians"
13-07-2017 00:00:00,,,,527,266,196,172,109,447,938
14-07-2017 00:00:00,,,,636,172,137,170,111,175,1094
15-07-2017 00:00:00,,,,589,173,140,302,110,243,1335
16-07-2017 00:00:00,,,,780,231,154,262,226,173,1377
17-07-2017 00:00:00,,,,776,250,253,225,109,425,978
18-07-2017 00:00:00,,,,792,280,188,244,258,514,1274
19-07-2017 00:00:00,,,,709,242,179,250,140,426,1581
20-07-2017 00:00:00,,,,594,275,172,267,129,445,1172
21-07-2017 00:00:00,,,,647,200,134,168,72,217,1054
22-07-2017 00:00:00,,,,552,193,80,330,90,212,944
23-07-2017 00:00:00,,,,589,157,128,217,145,116,917
24-07-2017 00:00:00,,,,800,273,254,217,142,332,1329
25-07-2017 00:00:00,,,,693,271,171,242,125,349,1414
26-07-2017 00:00:00,,,,661,294,205,272,238,316,1357
27-07-2017 00:00:00,,,,708,250,159,210,169,382,1250
28-07-2017 00:00:00,,,,803,204,172,281,101,270,1146
29-07-2017 00:00:00,,,,568,307,144,430,176,290,1840
30-07-2017 00:00:00,,,,795,337,169,425,235,275,2055
31-07-2017 00:00:00,,,,705,348,200,296,116,390,1861
01-08-2017 00:00:00,,,,762,309,184,347,167,358,1739
02-08-2017 00:00:00,,,,810,256,159,279,207,375,1800
03-08-2017 00:00:00,,,,652,274,191,253,120,393,1670
04-08-2017 00:00:00,,,3996,713,247,164,227,159,349,1525
05-08-2017 00:00:00,,,1129,619,293,142,349,154,213,1910
06-08-2017 00:00:00,,,954,646,266,140,327,177,195,1821
07-08-2017 00:00:00,,,3016,664,223,204,202,118,334,1336
08-08-2017 00:00:00,,,2972,639,213,215,269,121,349,1557
09-08-2017 00:00:00,,,4501,686,308,235,274,180,555,1720
10-08-2017 00:00:00,,,3465,704,267,209,329,155,403,1709
11-08-2017 00:00:00,,,2692,681,199,164,247,116,377,1233
12-08-2017 00:00:00,,,1017,559,269,122,398,118,186,1483
13-08-2017 00:00:00,,,867,720,201,112,360,228,155,1456
14-08-2017 00:00:00,,,2962,739,208,139,203,142,452,1184
15-08-2017 00:00:00,,,3129,782,221,177,232,162,501,1257
16-08-2017 00:00:00,,,3223,766,301,134,304,180,865,1488
17-08-2017 00:00:00,,,3053,661,242,184,246,127,865,1074
18-08-2017 00:00:00,,,2662,641,242,179,225,97,664,1156
19-08-2017 00:00:00,,,1097,632,221,187,269,128,310,1526
20-08-2017 00:00:00,,,838,591,180,,277,146,166,1145
21-08-2017 00:00:00,,,2642,645,240,,220,120,727,1343
22-08-2017 00:00:00,,,3194,604,225,,215,149,890,1307
23-08-2017 00:00:00,,,3132,689,262,647,283,280,727,1565
24-08-2017 00:00:00,,,3090,609,232,453,285,176,775,1617
25-08-2017 00:00:00,,,2945,749,353,315,217,156,404,1806
26-08-2017 00:00:00,,,2543,571,404,218,404,150,783,1915
27-08-2017 00:00:00,,,1983,1065,262,226,371,199,261,
28-08-2017 00:00:00,,,3360,911,264,457,337,171,741,3315
29-08-2017 00:00:00,,,3399,899,233,615,419,166,753,1750
30-08-2017 00:00:00,,,3398,810,198,514,321,175,726,1868
31-08-2017 00:00:00,,,3525,614,148,499,163,96,611,774
01-09-2017 00:00:00,,,2277,710,161,432,236,128,401,1449
02-09-2017 00:00:00,,,3140,563,483,278,363,245,215,2010
03-09-2017 00:00:00,,,1166,714,216,255,334,252,169,2228
04-09-2017 00:00:00,,,907,632,191,278,352,234,158,1775
05-09-2017 00:00:00,,,3134,689,183,452,283,154,711,1325
06-09-2017 00:00:00,,,2860,601,118,566,279,107,510,1250
07-09-2017 00:00:00,,,3391,722,237,566,362,197,821,1984
08-09-2017 00:00:00,,,3065,718,428,496,289,134,619,2083
09-09-2017 00:00:00,,,1988,550,410,283,454,237,296,3830
10-09-2017 00:00:00,,,1026,688,340,246,459,179,191,2157
11-09-2017 00:00:00,,,2208,408,94,409,133,45,516,390
12-09-2017 00:00:00,,,2964,691,242,531,238,155,735,1761
13-09-2017 00:00:00,,,3429,801,269,551,382,192,785,1966
14-09-2017 00:00:00,,,3295,677,286,507,321,148,741,1697
15-09-2017 00:00:00,,,3043,768,282,446,293,186,641,1666
16-09-2017 00:00:00,,,1508,701,276,287,356,200,254,2741
17-09-2017 00:00:00,,,3125,660,302,231,317,229,173,1416
18-09-2017 00:00:00,,,3273,725,405,456,300,248,733,1491
19-09-2017 00:00:00,,,3394,835,316,490,294,201,780,1635
20-09-2017 00:00:00,,,3242,760,222,447,268,153,704,1241
21-09-2017 00:00:00,,,3206,860,203,476,283,164,762,1298
22-09-2017 00:00:00,,,2760,953,199,426,290,118,516,1419
23-09-2017 00:00:00,,,971,676,263,252,379,152,211,1535
24-09-2017 00:00:00,,,2310,709,267,178,275,185,165,1347
25-09-2017 00:00:00,,,3285,735,335,473,285,159,676,1462
26-09-2017 00:00:00,,,3581,799,221,476,297,154,697,1334
27-09-2017 00:00:00,,,3358,705,252,502,290,153,668,1080
28-09-2017 00:00:00,,,3192,622,225,478,254,120,858,1078
29-09-2017 00:00:00,,,2954,646,234,434,291,132,561,2381
30-09-2017 00:00:00,,,1185,585,277,316,420,161,291,2261
01-10-2017 00:00:00,,,965,739,223,276,434,151,199,3631
02-10-2017 00:00:00,,,3346,767,382,492,329,203,822,1785
03-10-2017 00:00:00,,,3584,733,343,539,348,160,931,2272
04-10-2017 00:00:00,,,3589,724,246,589,422,215,1014,2273
05-10-2017 00:00:00,,,3452,730,227,609,319,149,945,1498
06-10-2017 00:00:00,,,3036,790,226,476,277,126,633,1597
07-10-2017 00:00:00,,,1326,949,302,220,324,86,192,1226
08-10-2017 00:00:00,,,779,927,171,147,303,123,161,1216
09-10-2017 00:00:00,,,2926,738,195,212,266,155,788,1464
10-10-2017 00:00:00,,,3394,791,210,290,223,151,988,1511
11-10-2017 00:00:00,,,3358,719,238,440,257,186,780,1486
12-10-2017 00:00:00,,,5086,754,279,446,268,161,414,1528
13-10-2017 00:00:00,,,3901,648,273,463,265,123,713,1492
14-10-2017 00:00:00,,,1137,510,275,316,456,297,298,2658
15-10-2017 00:00:00,,,920,651,221,205,350,167,238,1673
16-10-2017 00:00:00,,,2793,564,210,498,232,128,1016,1529
17-10-2017 00:00:00,,,3452,675,305,618,400,204,1081,3048
18-10-2017 00:00:00,,,3382,565,263,585,322,147,1101,2205
19-10-2017 00:00:00,,,3296,663,240,491,,153,998,1651
20-10-2017 00:00:00,,,2917,736,301,405,264,124,712,1699
21-10-2017 00:00:00,,,1035,594,266,293,366,151,385,1988
22-10-2017 00:00:00,,,851,811,204,224,366,165,190,1968
23-10-2017 00:00:00,,,2477,662,156,420,144,,628,459
24-10-2017 00:00:00,,,3511,721,309,547,318,248,1159,1909
25-10-2017 00:00:00,,,3375,624,276,563,316,136,1015,1556
26-10-2017 00:00:00,,,3219,645,246,530,281,114,987,1517
27-10-2017 00:00:00,,,2913,718,248,504,283,232,656,1615
28-10-2017 00:00:00,,,1144,551,378,237,397,243,238,1703
29-10-2017 00:00:00,,,617,776,160,258,324,136,120,999
30-10-2017 00:00:00,,,3007,594,181,527,,,701,1278
31-10-2017 00:00:00,,,3353,703,246,529,,170,858,1717
01-11-2017 00:00:00,,,3565,685,365,513,,112,800,1682
02-11-2017 00:00:00,,,3397,,418,584,,149,1069,1726
03-11-2017 00:00:00,,,3149,,244,451,,112,628,1739
04-11-2017 00:00:00,,,1231,,280,209,421,133,201,1830
05-11-2017 00:00:00,,,,,263,256,340,130,250,1746
06-11-2017 00:00:00,,,,,189,604,340,132,909,1702
07-11-2017 00:00:00,,,,,249,533,236,81,779,1230
08-11-2017 00:00:00,,,,,503,515,168,74,758,774
09-11-2017 00:00:00,,,,,,527,206,67,791,932
10-11-2017 00:00:00,,,,,,508,255,92,609,1394
11-11-2017 00:00:00,,,,,,283,310,136,294,1868
12-11-2017 00:00:00,,,,,,216,240,58,70,757
13-11-2017 00:00:00,,,,,,587,252,152,837,1159
14-11-2017 00:00:00,,,,,,567,264,90,803,1032
15-11-2017 00:00:00,,,,,,583,,105,746,1323
16-11-2017 00:00:00,,,,,,577,,116,835,1384
17-11-2017 00:00:00,,,,,,449,,93,584,1665
18-11-2017 00:00:00,,,,,,238,,126,224,1865
19-11-2017 00:00:00,,,,,,254,,122,179,1416
20-11-2017 00:00:00,,,,,,571,,99,852,999
21-11-2017 00:00:00,,,,,,453,,82,742,971
22-11-2017 00:00:00,,,,,,262,,114,715,1075
